id,playerID,award,year,league,tie,notes,createdAt,updatedAt
132,baylodo01,TSN Manager of the Year,1995,NL,,,,
133,hargrmi01,TSN Manager of the Year,1995,AL,,,,
134,bochybr01,TSN Manager of the Year,1996,NL,,,,
135,oatesjo01,TSN Manager of the Year,1996,AL,,,,
136,bakerdu01,TSN Manager of the Year,1997,NL,,,,
137,johnsda02,TSN Manager of the Year,1997,AL,,,,
138,bochybr01,TSN Manager of the Year,1998,NL,,,,
139,torrejo01,TSN Manager of the Year,1998,AL,,,,
140,coxbo01,TSN Manager of the Year,1999,NL,,,,
141,williji03,TSN Manager of the Year,1999,AL,,,,
142,bakerdu01,TSN Manager of the Year,2000,NL,,,,
143,manueje01,TSN Manager of the Year,2000,AL,,,,
144,bowala01,TSN Manager of the Year,2001,NL,,,,
145,pinielo01,TSN Manager of the Year,2001,AL,,,,
146,coxbo01,TSN Manager of the Year,2002,NL,,,,
147,sciosmi01,TSN Manager of the Year,2002,AL,,,,
148,coxbo01,TSN Manager of the Year,2003,NL,,,,
149,penato01,TSN Manager of the Year,2003,AL,,,,
150,coxbo01,TSN Manager of the Year,2004,NL,,,,
151,gardero01,TSN Manager of the Year,2004,AL,,,,
152,coxbo01,TSN Manager of the Year,2005,NL,,,,
153,guilloz01,TSN Manager of the Year,2005,AL,,,,
154,girarjo01,TSN Manager of the Year,2006,NL,,,,
155,leylaji99,TSN Manager of the Year,2006,AL,,,,
156,melvibo01,TSN Manager of the Year,2007,NL,,,,
157,wedgeer01,TSN Manager of the Year,2007,AL,,,,
158,maddojo99,TSN Manager of the Year,2008,AL,,,,
159,gonzafr99,TSN Manager of the Year,2008,NL,,,,
160,sciosmi01,TSN Manager of the Year,2009,AL,,,,
161,tracyji01,TSN Manager of the Year,2009,NL,,,,
162,gardero01,TSN Manager of the Year,2010,AL,,,,
163,blackbu02,TSN Manager of the Year,2010,NL,,,,
164,maddojo99,TSN Manager of the Year,2011,AL,,,,
165,gibsoki01,TSN Manager of the Year,2011,NL,,,,
166,showabu99,TSN Manager of the Year,2012,AL,,,,
167,johnsda02,TSN Manager of the Year,2012,NL,,,,
168,farrejo03,TSN Manager of the Year,2013,AL,,,,
169,hurdlcl01,TSN Manager of the Year,2013,NL,,,,
170,showabu99,TSN Manager of the Year,2014,AL,,,,
171,willima04,TSN Manager of the Year,2014,NL,,,,
172,molitpa01,TSN Manager of the Year,2015,AL,,,,
173,collite99,TSN Manager of the Year,2015,NL,,,,
174,showabu99,BBWAA Manager of the Year,2014,AL,,,,
175,willima04,BBWAA Manager of the Year,2014,NL,,,,
176,banisje01,BBWAA Manager of the Year,2015,AL,,,,
177,maddojo99,BBWAA Manager of the Year,2015,NL,,,,
178,francte01,BBWAA Manager of the Year,2016,AL,,,,
179,roberda07,BBWAA Manager of the Year,2016,NL,,,,
